번호,고객명,생년월일,성별,연락처,이메일,주소,가족사항,직업,연소득(만원),가입상품,보험사,증권번호,월보험료(원),가입일,만기일,주요보장,특약,무사고여부,비고
1,김철수,1978-03-15,남,010-2915-8720,user001@gmail.com,경기 수원시 영통구,배우자+자녀1+부모,자영업(음식점),4800,자동차보험,삼성화재,SF2024-5123357,118000,2024-08-20,2026-08-20,대물2억/대인무한/자기신체사고,긴급출동,무사고3년,8월 만기 · 갱신 상담 대상
2,이영희,1985-11-02,여,010-2732-6259,user002@daum.net,대구 수성구,배우자+자녀2,공무원,5100,자동차보험,DB손해보험,DB2024-3950364,42000,2024-08-20,2026-08-20,대물3억/대인무한/자동차상해,실손특약,무사고5년,8월 만기 · 갱신 상담 대상
3,최동욱,1965-01-20,남,010-9567-5381,user003@gmail.com,서울 성동구 성수동,독신,자영업(부동산),7200,자동차보험,삼성화재,SF2024-1395150,118000,2024-08-25,2026-08-25,대물2억/대인무한/자기신체사고,-,무사고2년,8월 만기 · 갱신 상담 대상
4,신미경,1982-07-30,여,010-4904-9357,user004@daum.net,경기 화성시 동탄,배우자,직장인(회계사),9600,자동차보험,현대해상,HD2024-1763372,88000,2024-08-25,2026-08-25,대물3억/대인무한/자동차상해,"간병인일당,3대진단비",무사고7년,8월 만기 · 갱신 상담 대상
5,강수연,1993-10-18,여,010-8116-3372,user005@naver.com,경기 수원시 영통구,배우자+부모,직장인(디자이너),5400,자동차보험,DB손해보험,DB2024-6350079,156000,2024-08-22,2026-08-22,대물2억/대인무한/자기신체사고,"간병인일당,3대진단비",무사고1년,8월 만기 · 갱신 상담 대상
6,정우진,1979-05-22,남,010-7127-5409,user006@naver.com,서울 노원구 상계동,이혼+자녀1,직장인(IT개발),5400,실손의료보험,KB손해보험,KB2024-5415970,88000,2024-08-27,2026-08-27,실손입원/통원,블랙박스,-,8월 만기 · 갱신 상담 대상
7,한지민,1988-04-07,여,010-2810-9359,user007@hanmail.net,대구 수성구,배우자+부모,직장인(교사),7200,실손의료보험,삼성화재,SF2024-1530294,134000,2024-08-27,2026-08-27,실손입원/통원,실손특약,-,8월 만기 · 갱신 상담 대상
8,오세훈,1975-12-11,남,010-4218-7346,user008@gmail.com,서울 강동구 명일동,배우자+자녀1,전문직(변호사),4800,자동차보험,현대해상,HD2024-1221547,88000,2024-08-22,2026-08-22,대물3억/대인무한/자동차상해,"간병인일당,3대진단비",무사고3년,8월 만기 · 갱신 상담 대상
9,황윤아,1965-09-03,여,010-6175-6825,user009@daum.net,경기 화성시 동탄,배우자+자녀1+부모,기업인(제조업 대표),5400,자동차보험,한화손해보험,KB2024-6880695,72000,2024-10-07,2026-10-07,대물2억/대인무한/자기신체사고,"긴급출동,블랙박스",무사고3년,
10,김나연,1989-02-18,여,010-6537-5671,user010@daum.net,인천 연수구 송도동,독신,자영업(도소매),3800,종신보험,신한라이프,KL2022-2330428,120000,2022-01-21,2042-01-21,변액적립/보장,실손특약,-,
11,최보라,1970-10-26,여,010-8187-2343,user011@hanmail.net,서울 마포구 상암동,배우자,직장인(회계사),3200,자동차보험,한화손해보험,KB2020-8932690,118000,2020-12-14,2022-12-14,대물2억/대인무한/자기신체사고,운전자특약,-,
12,박수연,1981-07-13,여,010-8651-4875,user012@daum.net,경기 용인시 수지구,배우자,직장인(간호사),4200,3대질병보험,메리츠화재,KB2021-2263736,67000,2021-06-13,2051-06-13,암진단비/수술비/입원일당,간병인일당,무사고5년,
13,남미경,1985-04-03,여,010-7703-2623,user013@kakao.com,서울 성동구 성수동,배우자+자녀2,자영업(카페),11000,저축보험,신한라이프,KL2024-9707627,180000,2024-08-26,2034-08-26,변액적립/보장,입원일당,무사고7년,
14,조현주,1986-04-08,여,010-2811-7649,user014@gmail.com,서울 강동구 명일동,미혼,전문직(의사),5800,3대질병보험,KB손해보험,KB2023-6151700,88000,2023-01-09,2033-01-09,암진단/뇌심장/입원수술,긴급출동,무사고5년,
15,문영희,1959-02-23,여,010-9397-4797,user015@hanmail.net,경기 성남시 분당구,독신,전문직(세무사),3600,치아보험,삼성화재,SF2022-3442867,220000,2022-03-12,2052-03-12,3대진단비/입원/통원,-,-,
16,한승현,1978-02-14,남,010-7668-2230,user016@gmail.com,경기 성남시 분당구,배우자+자녀3,전문직(세무사),4800,치아보험,현대해상,HD2022-3120169,220000,2022-02-11,2052-02-11,암진단비/수술비/입원일당,-,무사고5년,
17,박세라,1995-05-01,여,010-5187-2934,user017@daum.net,서울 송파구 잠실동,미혼,자영업(도소매),6100,저축보험,NH농협생명,KL2024-5539837,120000,2024-10-26,2034-10-26,사망/재해/입원,입원일당,무사고3년,
18,강기범,1978-02-06,남,010-9920-6070,user018@gmail.com,서울 강남구 역삼동,배우자+자녀1+부모,자영업(도소매),5100,건강보험,KB손해보험,KB2024-9556603,180000,2024-06-13,2034-06-13,실손입원/통원,"긴급출동,블랙박스",무사고3년,
19,조승현,1977-06-22,남,010-5635-2659,user019@kakao.com,경기 용인시 수지구,배우자+자녀2,전업주부,3200,치아보험,삼성화재,SF2021-9971867,42000,2021-12-17,2051-12-17,암진단/뇌심장/입원수술,"긴급출동,블랙박스",-,
20,오우진,1979-01-06,남,010-2305-1184,user020@kakao.com,서울 영등포구 여의도동,배우자+자녀2,직장인(교사),4800,암보험,삼성화재,SF2021-2256758,156000,2021-09-13,2031-09-13,실손입원/통원,실손특약,무사고3년,
21,남민수,1969-05-05,남,010-8089-3866,user021@gmail.com,서울 영등포구 여의도동,배우자+자녀2,직장인(제약영업),7200,암보험,현대해상,HD2021-2075376,220000,2021-06-21,2031-06-21,암진단비/수술비/입원일당,3대진단비,무사고5년,
22,조도현,1989-12-08,남,010-3523-4319,user022@naver.com,서울 송파구 잠실동,배우자+자녀3,전문직(세무사),4200,자동차보험,한화손해보험,KB2024-1033506,95000,2024-10-19,2026-10-19,대물2억/대인무한/자상,간병인일당,-,
23,장수진,1995-10-04,여,010-4700-2054,user023@gmail.com,인천 연수구 송도동,배우자+자녀2,직장인(제약영업),7500,변액보험,신한라이프,KL2022-9493261,120000,2022-06-19,2032-06-19,사망보장/연금전환,입원일당,-,
24,황윤아,1963-02-04,여,010-2413-4878,user024@hanmail.net,경기 용인시 수지구,배우자+자녀3,직장인(공기업),6100,종합건강보험,삼성화재,SF2021-7390970,340000,2021-11-26,2051-11-26,3대진단비/입원/통원,3대진단비,무사고2년,
25,고시은,1990-05-18,여,010-6996-7418,user025@naver.com,서울 영등포구 여의도동,배우자+자녀2,자영업(학원),9600,건강보험,현대해상,HD2024-1022505,120000,2024-08-28,2054-08-28,암진단/뇌심장/입원수술,-,무사고1년,
26,황경택,1976-03-19,남,010-4593-5993,user026@daum.net,서울 마포구 상암동,배우자+자녀2,자영업(부동산),15000,3대질병보험,현대해상,HD2020-1807946,156000,2020-05-20,2040-05-20,3대진단비/입원/통원,입원일당,-,
27,손윤아,1989-05-07,여,010-5709-8046,user027@naver.com,경기 안양시 평촌,이혼+자녀1,자영업(음식점),7200,자동차보험,한화손해보험,KB2021-4914863,134000,2021-02-10,2023-02-10,대물3억/대인무한/자동차상해,간병인일당,무사고5년,
28,양하은,1989-01-25,여,010-9493-3236,user028@kakao.com,서울 마포구 상암동,배우자,자영업(펜션),9600,암보험,삼성화재,SF2022-8290914,67000,2022-12-02,2052-12-02,암진단비/수술비/입원일당,간병인일당,무사고1년,
29,서영호,1972-06-19,남,010-3393-6996,user029@kakao.com,인천 연수구 송도동,배우자+자녀2+부모,직장인(제약영업),8400,종신보험,삼성생명,SL2021-8237732,280000,2021-09-08,2041-09-08,연금/사망,3대진단비,무사고7년,
30,백종석,1974-10-18,남,010-9056-3576,user030@kakao.com,서울 송파구 잠실동,이혼+자녀1,전업주부,18000,연금보험,신한라이프,KL2024-1973933,450000,2024-07-04,2054-07-04,사망/재해/입원,"간병인일당,3대진단비",무사고3년,
31,서세훈,1992-02-02,남,010-8403-8678,user031@daum.net,서울 노원구 상계동,이혼+자녀1,전문직(의사),25000,자동차보험,메리츠화재,KB2020-4323981,72000,2020-09-13,2021-09-13,대물3억/대인무한/자동차상해,입원일당,무사고7년,
32,황민수,1980-11-17,남,010-3060-1196,user032@kakao.com,경기 수원시 영통구,배우자+자녀1+부모,자영업(부동산),3200,자동차보험,삼성화재,SF2020-3588326,118000,2020-06-16,2021-06-16,대물2억/대인무한/자기신체사고,블랙박스,무사고3년,
33,손병철,1963-09-14,남,010-7823-7091,user033@gmail.com,서울 강서구 마곡동,배우자+자녀2,프리랜서(강사),4800,암보험,한화손해보험,KB2024-9987614,180000,2024-08-03,2034-08-03,암진단비/수술비/입원일당,3대진단비,무사고7년,
34,강예린,1972-07-12,여,010-7324-7327,user034@daum.net,서울 마포구 상암동,배우자,직장인(공기업),12000,3대질병보험,DB손해보험,DB2024-9721690,42000,2024-06-05,2044-06-05,실손입원/통원,"긴급출동,블랙박스",무사고2년,
35,서종석,1959-03-09,남,010-4765-9936,user035@naver.com,서울 관악구 봉천동,배우자+자녀1+부모,직장인(간호사),7200,건강보험,DB손해보험,DB2020-4121023,180000,2020-10-06,2040-10-06,암진단/뇌심장/입원수술,입원일당,무사고5년,
36,강영호,1977-05-23,남,010-9714-1711,user036@naver.com,서울 서초구 방배동,배우자+자녀3,자영업(펜션),3200,3대질병보험,한화손해보험,KB2023-3072304,67000,2023-11-28,2053-11-28,치아보철/보존,간병인일당,무사고3년,
37,김다은,1966-01-22,여,010-4598-2883,user037@naver.com,서울 영등포구 여의도동,미혼,기업인(제조업 대표),5100,실손의료보험,DB손해보험,DB2021-7215870,340000,2021-01-12,2022-01-12,암진단비/수술비/입원일당,운전자특약,무사고7년,
38,한성민,1989-07-19,남,010-8537-6383,user038@daum.net,서울 성동구 성수동,배우자+자녀3,직장인(회계사),25000,실손의료보험,한화손해보험,KB2021-4200451,88000,2021-04-17,2022-04-17,3대진단비/입원/통원,3대진단비,무사고2년,
39,안종석,1996-09-14,남,010-9439-6047,user039@daum.net,서울 영등포구 여의도동,배우자+자녀1,자영업(농업),3800,자동차보험,현대해상,HD2024-6331367,134000,2024-04-01,2026-04-01,대물2억/대인무한/자상,입원일당,-,
40,전호준,1966-02-25,남,010-2313-2184,user040@hanmail.net,대구 수성구,배우자+자녀2,자영업(농업),3600,종합건강보험,KB손해보험,KB2020-8712506,67000,2020-07-20,2040-07-20,실손입원/통원,블랙박스,무사고3년,
41,손다은,1982-06-28,여,010-5895-1348,user041@hanmail.net,인천 연수구 송도동,배우자+자녀1+부모,직장인(공기업),5400,자동차보험,한화손해보험,KB2023-5757982,72000,2023-04-11,2025-04-11,대물3억/대인무한/자동차상해,"긴급출동,블랙박스",무사고3년,
42,배광수,1997-01-20,남,010-4744-9500,user042@daum.net,서울 영등포구 여의도동,배우자+자녀1,직장인(IT개발),3800,저축보험,삼성생명,SL2022-1642548,120000,2022-07-23,2032-07-23,연금/사망,입원일당,무사고3년,
43,윤정우,1959-09-18,남,010-9959-4490,user043@naver.com,경기 안양시 평촌,독신,직장인(공기업),6800,자동차보험,메리츠화재,KB2024-4214248,134000,2024-04-25,2025-04-25,대물3억/대인무한/자동차상해,3대진단비,무사고2년,
44,남지훈,1959-02-11,남,010-6200-1075,user044@hanmail.net,경기 수원시 영통구,배우자,전업주부,7200,건강보험,흥국화재,KB2021-4338139,120000,2021-08-26,2051-08-26,치아보철/보존,블랙박스,무사고3년,
45,심소영,1994-12-20,여,010-6541-4424,user045@gmail.com,서울 영등포구 여의도동,이혼+자녀1,직장인(회계사),6100,정기보험,삼성생명,SL2022-1255790,450000,2022-02-26,2032-02-26,연금/사망,"간병인일당,3대진단비",무사고7년,
46,허도현,1986-02-02,남,010-8496-7175,user046@hanmail.net,경기 고양시 일산구,배우자+자녀2,자영업(학원),25000,정기보험,한화생명,HL2023-2545365,180000,2023-07-28,2033-07-28,사망/재해/입원,긴급출동,-,
